/	rd0096	rd0137	rd0164	rd0167	rd0185	rd0189	rd0212	rd0216	rd0387	rd0522	rd0665	rd0687	rd0755	rr0007	rr0033	rr0034	rr0052	rr0053	rr0055	rr0058	rr0059	rr0068	rr0082	rr0084	rr0088	rr0098	rr0105	rr0110	rr0111	rr0122	rr0130	rr0134	rr0135	rr0136	rr0138	rr0143	rr0144	rr0160	rr0166	rr0174	rr0184	rr0283	rr0294	rr0311	rr0313	rr0321	rr0328	rr0330	rr0336	rr0348	rr0370	rr0390	rr0392	rr0395	rr0402	rr0416	rr0419	rr0428	rr0442	rr0451	rr0468	rr0469	rr0470	rr0474	rr0489	rr0493	rr0543	rr0585	rr0611	rr0618	rr0620	rr0628	rr0644	rr0646	rr0647	rr0662	rr0670	rr0672	rr0679	rr0707	rr0710	rr0711	rr0716	rr0719	rr0731	rr0754	rr0769	rr0789	rr0790	rr0792	rr0793	rr0798	rr0801	rr0833	rr0836	rr0838	rr0841	rr0842	rr0844	rr0846	rr0847	rr0852	rr0855	rr0856	rr0862	rr0870	rr0873	rr0880	rr0882	rr0891	rr0897	rr0898	rr0900	rr0910	rr0911	rr0912	rr0916	rr0921	rr0927	rr0928	rr0930	rr0932	rr0941	rr0942	rr0945	rr0946	rr0953	rr0960	rr0963	rr0967	rr0969	rr0973	rr0974	rr0976	rr0980	rr0981	rr0984	rr0987	rr0991
Bin_11	0.82	0.58	0.24	0.9	0.25	0.3	3.1	0.47	0.31	0.76	0.86	0.85	0.77	0.54	0.83	0.95	0.22	0.85	0.53	0.87	0.7	0.14	0.82	0.66	0.84	0.41	0.93	0.57	0.84	0.79	1.2	0.2	0.44	0.8	1.1	0.84	0.9	1	0.86	0.85	0.2	0.76	0.83	0.82	0.85	0.87	0.79	0.95	0.72	0.72	0.85	0.83	0.45	0.64	0.16	0.54	0.78	0.8	0.87	0.71	0.86	0.51	0.86	0.83	0.84	0.24	0.59	0.81	0.89	0.39	0.87	0.88	0.81	0.89	0.84	0.77	0.33	0.4	0.84	0.33	0.85	0.84	0.89	0.77	0.91	0.95	0.89	0.38	0.38	0.83	0.84	0.17	0.21	0.51	inf	0.84	0.4	0.94	0.54	0.94	0.83	0.89	0.81	0.8	0.93	0.29	0.48	0.88	0.6	0.47	0.85	0.77	0.78	0.24	0.82	0.83	0.8	0.85	0.72	0.77	0.75	0.88	0.37	0.56	0.71	0.78	0.81	0.88	0.78	0.79	0.78	0.74	0.78	0.57	0.87	0.44	0.58	0.79	0.86
Bin_11_haplo_0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.027	NA	NA	NA	NA	0.039	NA	NA	NA	NA	NA	NA	NA	NA	0.046	NA	0.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.93	NA	NA	NA	NA	NA	NA	0.07	0.13	0.033	NA	0.028	NA	0.018	NA	NA	NA	NA	NA	0.019	0.034	0.21	0.23	NA	0.52	0.015	0.16	NA	NA	NA	0.055	NA	0.036	0.35	NA	0.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.13	NA	0.0067	NA	NA	NA	NA	0.012	NA	NA	NA	NA	NA	NA	NA	NA	0.0063	0.037	0.036	0.023	NA	0.0079	NA	NA	0.24	NA	NA	1.1	NA	NA	NA	NA	NA	NA	0.04	0.017	NA	0.36	0.046	NA	NA	NA	NA	0.051	0.8	0.017	0.23	0.026	NA	NA	NA	NA	NA	0.029	0.013	0.83
Bin_11_haplo_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.17	NA	NA	NA	NA	0.29	NA	NA	NA	NA	NA	NA	NA	NA	0.094	NA	0.053	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.11	NA	NA	NA	NA	NA	NA	0.13	0.057	0.53	NA	0.13	NA	0.1	NA	NA	NA	NA	NA	0.13	0.12	0.05	0.11	NA	0.082	0.15	0.084	NA	NA	NA	0.13	NA	0.0075	0.17	NA	0.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.16	NA	0.14	NA	NA	NA	NA	0.13	NA	NA	NA	NA	NA	NA	NA	NA	0.22	0.023	0.33	0.13	NA	0.025	NA	NA	0.087	NA	NA	0.032	NA	NA	NA	NA	NA	NA	0.18	0.14	NA	0.077	0.26	NA	NA	NA	NA	0.059	0.13	0.12	0.085	0.084	NA	NA	NA	NA	NA	0.076	0.059	0.06
Bin_11_haplo_2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.013	NA	NA	NA	NA	0.0072	NA	NA	NA	NA	NA	NA	NA	NA	0.018	NA	0.045	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.049	NA	NA	NA	NA	NA	NA	0.077	0.012	0.016	NA	0.084	NA	0.021	NA	NA	NA	NA	NA	0.015	0.034	0.0076	0.039	NA	0.079	0.006	0.025	NA	NA	NA	0.012	NA	0.0077	0.017	NA	0.023	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.22	NA	1.3	NA	NA	NA	NA	0.027	NA	NA	NA	NA	NA	NA	NA	NA	0.02	0.019	0.011	0.01	NA	1.3	NA	NA	0.023	NA	NA	0.055	NA	NA	NA	NA	NA	NA	0.0067	0.0048	NA	0.018	0.027	NA	NA	NA	NA	0.0034	0.036	0.011	0.1	0.02	NA	NA	NA	NA	NA	0.0096	0.0065	0.076
Bin_11_haplo_3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0079	NA	NA	NA	NA	0.0025	NA	NA	NA	NA	NA	NA	NA	NA	0.014	NA	0.099	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.04	NA	NA	NA	NA	NA	NA	0.077	0.0097	0.0097	NA	0.032	NA	0.011	NA	NA	NA	NA	NA	0.0097	0.009	0.0032	0.13	NA	0.19	0.0051	0.028	NA	NA	NA	0.0098	NA	0.0073	0.049	NA	0.046	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0078	NA	0.0042	NA	NA	NA	NA	0.0063	NA	NA	NA	NA	NA	NA	NA	NA	0.01	0.041	0.027	1	NA	0.0063	NA	NA	0.018	NA	NA	0.0016	NA	NA	NA	NA	NA	NA	0.0052	0.64	NA	0.015	0.006	NA	NA	NA	NA	0.013	0.08	0.012	0.024	0.87	NA	NA	NA	NA	NA	0.22	1.1	0.14
Bin_11_haplo_4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.56	NA	NA	NA	NA	0.0038	NA	NA	NA	NA	NA	NA	NA	NA	0.92	NA	0.19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.05	NA	NA	NA	NA	NA	NA	0.35	0.0065	0.0055	NA	0.32	NA	1.1	NA	NA	NA	NA	NA	0.63	0.98	0.15	0.25	NA	0.27	0.25	0.5	NA	NA	NA	0.54	NA	0.12	0.13	NA	0.27	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.21	NA	0.012	NA	NA	NA	NA	0.79	NA	NA	NA	NA	NA	NA	NA	NA	0.021	0.081	0.024	0.059	NA	0.23	NA	NA	0.22	NA	NA	0.042	NA	NA	NA	NA	NA	NA	0.36	0.16	NA	0.24	0.46	NA	NA	NA	NA	0.21	0.12	1	0.011	0.19	NA	NA	NA	NA	NA	0.19	0.15	0.14
Bin_11_haplo_5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.046	NA	NA	NA	NA	0.0016	NA	NA	NA	NA	NA	NA	NA	NA	0.027	NA	0.032	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.027	NA	NA	NA	NA	NA	NA	0.11	0.0079	0.0026	NA	0.012	NA	0.035	NA	NA	NA	NA	NA	0.035	0.019	0.0023	0.066	NA	0.04	0.14	0.071	NA	NA	NA	0.063	NA	0.032	0.11	NA	0.096	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.026	NA	0.0098	NA	NA	NA	NA	0.086	NA	NA	NA	NA	NA	NA	NA	NA	0.017	0.013	0.047	0.036	NA	0.016	NA	NA	0.083	NA	NA	0.0011	NA	NA	NA	NA	NA	NA	0.099	0.016	NA	0.012	0.059	NA	NA	NA	NA	0.14	0.04	0.017	0.28	0.015	NA	NA	NA	NA	NA	0.024	0.022	0.018
Bin_11_haplo_6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0067	NA	NA	NA	NA	0.0038	NA	NA	NA	NA	NA	NA	NA	NA	0.012	NA	0.071	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.022	NA	NA	NA	NA	NA	NA	0.043	0.26	0.0046	NA	0.01	NA	0.011	NA	NA	NA	NA	NA	0.0087	0.0063	0.31	0.018	NA	0.025	0.037	0.016	NA	NA	NA	0.006	NA	0.54	0.022	NA	0.0066	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.011	NA	0.0044	NA	NA	NA	NA	0.0041	NA	NA	NA	NA	NA	NA	NA	NA	0.0077	1	0.023	0.011	NA	0.0056	NA	NA	0.016	NA	NA	0.0088	NA	NA	NA	NA	NA	NA	0.01	0.0053	NA	0.0071	0.0034	NA	NA	NA	NA	0.046	0.02	0.012	0.099	0.016	NA	NA	NA	NA	NA	0.0077	0.0072	0.034
Bin_11_haplo_7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.45	NA	NA	NA	NA	0.54	NA	NA	NA	NA	NA	NA	NA	NA	0.26	NA	0.38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.31	NA	NA	NA	NA	NA	NA	0.2	0.39	0.74	NA	0.58	NA	0.16	NA	NA	NA	NA	NA	0.36	0.25	0.19	0.43	NA	0.28	0.38	0.51	NA	NA	NA	0.39	NA	0.012	0.41	NA	0.52	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.31	NA	0.17	NA	NA	NA	NA	0.3	NA	NA	NA	NA	NA	NA	NA	NA	0.47	0.082	0.8	0.29	NA	0.085	NA	NA	0.51	NA	NA	0.23	NA	NA	NA	NA	NA	NA	0.47	0.42	NA	0.47	0.48	NA	NA	NA	NA	0.28	0.24	0.13	0.39	0.44	NA	NA	NA	NA	NA	0.46	0.27	0.27
Bin_11_haplo_8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.17	NA	NA	NA	NA	0.052	NA	NA	NA	NA	NA	NA	NA	NA	0.083	NA	0.088	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.028	NA	NA	NA	NA	NA	NA	0.039	0.1	0.055	NA	0.055	NA	0.044	NA	NA	NA	NA	NA	0.19	0.11	0.034	0.11	NA	0.087	0.35	0.14	NA	NA	NA	0.15	NA	0.077	0.16	NA	0.17	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.012	NA	0.024	NA	NA	NA	NA	0.16	NA	NA	NA	NA	NA	NA	NA	NA	0.0098	0.014	0.22	0.017	NA	0.029	NA	NA	0.22	NA	NA	0.041	NA	NA	NA	NA	NA	NA	0.3	0.012	NA	0.021	0.14	NA	NA	NA	NA	0.36	0.062	0.036	0.16	0.032	NA	NA	NA	NA	NA	0.016	0.017	0.078
