sampleID,num_mapped
rd0012.bam,217699
rd0039.bam,12894971
rd0076.bam,8934421
rd0096.bam,7698071
rd0103.bam,196784
rd0113.bam,22873
rd0137.bam,6667838
rd0164.bam,8950640
rd0167.bam,229753
rd0175.bam,12442062
rd0185.bam,23561266
rd0189.bam,2432587
rd0212.bam,131691
rd0216.bam,11127375
rd0387.bam,22607480
rd0522.bam,13011169
rd0563.bam,338849
rd0597.bam,36192
rd0665.bam,14155238
rd0687.bam,1278315
rd0738.bam,71063
rd0755.bam,7146242
rd0943.bam,41602
rf0549.bam,74991
rf0788.bam,224704
rf0895.bam,246291
rr0002.bam,10874443
rr0003.bam,7391291
rr0004.bam,8703494
rr0005.bam,7146983
rr0007.bam,6473809
rr0011.bam,8407101
rr0014.bam,21361155
rr0016.bam,355954
rr0020.bam,5558282
rr0021.bam,8360364
rr0022.bam,8873879
rr0027.bam,6668770
rr0028.bam,10293590
rr0029.bam,15171296
rr0030.bam,183912
rr0031.bam,714041
rr0033.bam,3133411
rr0034.bam,28525821
rr0035.bam,7343301
rr0036.bam,5023534
rr0037.bam,5790548
rr0041.bam,14601746
rr0042.bam,1437012
rr0045.bam,14746600
rr0046.bam,7908593
rr0048.bam,23186562
rr0049.bam,9118551
rr0052.bam,8631784
rr0053.bam,19559848
rr0054.bam,1054275
rr0055.bam,8174911
rr0056.bam,136215
rr0057.bam,5187830
rr0058.bam,356058
rr0059.bam,5914097
rr0061.bam,4922500
rr0062.bam,867463
rr0066.bam,219400
rr0067.bam,23842263
rr0068.bam,12708250
rr0069.bam,8427466
rr0070.bam,15154905
rr0072.bam,5804884
rr0073.bam,948647
rr0075.bam,9304546
rr0077.bam,13305922
rr0078.bam,9736228
rr0079.bam,17983043
rr0082.bam,236979
rr0083.bam,4707652
rr0084.bam,14592863
rr0085.bam,11009712
rr0087.bam,7277675
rr0088.bam,5374485
rr0090.bam,9049484
rr0091.bam,71075
rr0095.bam,74769
rr0097.bam,93680
rr0098.bam,9824889
rr0105.bam,7312018
rr0107.bam,14837829
rr0110.bam,30457343
rr0111.bam,626470
rr0112.bam,16648712
rr0118.bam,966186
rr0119.bam,24717056
rr0120.bam,7902258
rr0122.bam,5963175
rr0124.bam,7564241
rr0126.bam,6107083
rr0127.bam,172624
rr0128.bam,21543171
rr0130.bam,1239960
rr0131.bam,7868914
rr0133.bam,607242
rr0134.bam,15880926
rr0135.bam,8871221
rr0136.bam,260823
rr0138.bam,177860
rr0139.bam,9345673
rr0141.bam,12341657
rr0142.bam,79577
rr0143.bam,8005231
rr0144.bam,196338
rr0145.bam,11554056
rr0151.bam,127648
rr0152.bam,6635260
rr0154.bam,4855099
rr0156.bam,6985030
rr0157.bam,4955185
rr0158.bam,10799719
rr0160.bam,3458207
rr0163.bam,6687198
rr0165.bam,6634437
rr0166.bam,6975990
rr0169.bam,2768901
rr0170.bam,3856173
rr0171.bam,56750
rr0172.bam,7924238
rr0173.bam,19389766
rr0174.bam,624301
rr0179.bam,8876298
rr0181.bam,6096050
rr0183.bam,784912
rr0184.bam,9941696
rr0186.bam,16960434
rr0187.bam,182443
rr0190.bam,6079078
rr0191.bam,8233879
rr0194.bam,4284623
rr0197.bam,10849893
rr0199.bam,892338
rr0204.bam,15546192
rr0209.bam,10569893
rr0214.bam,1722089
rr0220.bam,10464233
rr0225.bam,13575464
rr0227.bam,1609572
rr0231.bam,12792755
rr0237.bam,7858168
rr0246.bam,11696878
rr0260.bam,2906652
rr0261.bam,11252872
rr0262.bam,19058482
rr0264.bam,7696092
rr0266.bam,3619372
rr0268.bam,6529303
rr0283.bam,10814256
rr0288.bam,8107307
rr0289.bam,8565660
rr0290.bam,15146675
rr0291.bam,204033
rr0292.bam,6359361
rr0294.bam,672403
rr0298.bam,368835
rr0299.bam,3295738
rr0302.bam,14323742
rr0306.bam,213911
rr0307.bam,10258509
rr0308.bam,222137
rr0310.bam,1535073
rr0311.bam,25122528
rr0313.bam,700186
rr0314.bam,7088039
rr0315.bam,4480737
rr0316.bam,5717720
rr0319.bam,7123335
rr0320.bam,8438326
rr0321.bam,14494721
rr0324.bam,6961500
rr0328.bam,26209728
rr0329.bam,310723
rr0330.bam,12507441
rr0332.bam,219220
rr0336.bam,5925643
rr0339.bam,11092993
rr0340.bam,6593652
rr0348.bam,7575562
rr0349.bam,13112505
rr0350.bam,211295
rr0354.bam,45110
rr0356.bam,9328063
rr0357.bam,425893
rr0361.bam,1618937
rr0365.bam,1069119
rr0370.bam,1107924
rr0375.bam,16425077
rr0377.bam,1354573
rr0379.bam,84781
rr0381.bam,12322660
rr0390.bam,5241796
rr0392.bam,12420770
rr0394.bam,29324
rr0395.bam,14819411
rr0397.bam,121726
rr0402.bam,23956761
rr0403.bam,186949
rr0407.bam,394727
rr0408.bam,16880561
rr0410.bam,5172834
rr0412.bam,647622
rr0415.bam,5968505
rr0416.bam,6074543
