tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
2108055	Cylindrospermopsis raciborskii Cr2010	92779321	0	live	uvrA	C6N34_RS00825, C6N34_000825	excinuclease ABC subunit UvrA	excinuclease ABC subunit UvrA									
2692891	Aphanizomenon flos-aquae FACHB-1287	78218646	0	live	uvrA	H6G44_RS11725, H6G44_11685	excinuclease ABC subunit UvrA	excinuclease ABC subunit UvrA									
2971778	Umezakia ovalisporum Ak1311	83683433	0	live	uvrA	NWP25_RS00945, NWP25_00950	excinuclease ABC subunit UvrA	excinuclease ABC subunit UvrA									
98439	Fischerella thermalis PCC 7521	35798136	0	live	uvrA	UYK_RS0100965	excinuclease ABC subunit UvrA	excinuclease ABC subunit UvrA									
423471	Crocosphaera watsonii WH 0003	88766995	0	live	uvrA	CWATWH0003_RS16445, CWATWH0003_3463	excinuclease ABC subunit UvrA	excinuclease ABC subunit UvrA									
269084	Synechococcus elongatus PCC 6301	72429694	0	live	uvrA	PCC6301pg_RS04430, PCC6301pg_0887	excinuclease ABC subunit UvrA	excinuclease ABC subunit UvrA									
1628744	Nostoc linckia z6	57097684	0	live	uvrA	VF07_RS31835, VF07_31140	excinuclease ABC subunit UvrA	excinuclease ABC subunit UvrA									
375899	Trichormus variabilis 0441	58726386	0	live	uvrA	GSQ19_RS23850, GSQ19_23850	excinuclease ABC subunit UvrA	excinuclease ABC subunit UvrA									
1160	Planktothrix agardhii	77289122	0	live	uvrA	NMG88_RS14925, NO976_02990	excinuclease ABC subunit UvrA	excinuclease ABC subunit UvrA		I							
449441	Microcystis aeruginosa NIES-88	66707956	0	live	uvrA	OA58_RS17490, OA58_17605	excinuclease ABC subunit UvrA	excinuclease ABC subunit UvrA									
398007	Dolichospermum circinale AWQC131C	78013208	0	live	uvrA	ACIR131C_RS0112040	excinuclease ABC subunit UvrA	excinuclease ABC subunit UvrA									
1914872	Nodularia spumigena UHCC 0039	78016526	0	live	uvrA	BMF81_RS05895	excinuclease ABC subunit UvrA	excinuclease ABC subunit UvrA									
167542	Prochlorococcus marinus str. MIT 9515	60200649	0	live	uvrA	P9515_RS09155, P9515_19031	excinuclease ABC subunit UvrA	excinuclease ABC subunit UvrA			NC_008817.1	1695765	1698665	minus	0		
449441	Microcystis aeruginosa NIES-88	66708695	0	live	uvrB	OA58_RS21495, OA58_21615	excinuclease ABC subunit UvrB	excinuclease ABC subunit UvrB									
375899	Trichormus variabilis 0441	58722253	0	live	uvrB	GSQ19_RS03185, GSQ19_03185	excinuclease ABC subunit UvrB	excinuclease ABC subunit UvrB									
1628744	Nostoc linckia z6	57093640	0	live	uvrB	VF07_RS10350, VF07_10115	excinuclease ABC subunit UvrB	excinuclease ABC subunit UvrB									
1160	Planktothrix agardhii	77286964	0	live	uvrB	NMG88_RS04135, NO976_00822	excinuclease ABC subunit UvrB	excinuclease ABC subunit UvrB		I							
398007	Dolichospermum circinale AWQC131C	78013467	0	live	uvrB	ACIR131C_RS0113510	excinuclease ABC subunit UvrB	excinuclease ABC subunit UvrB									
