qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
APHAN_134.Contig_1	NZ_JACJTO010000007.1:68616-70613	99.650	1998	7	0	16502	18499	1998	1	0.0	3651
APHAN_134.Contig_1	NZ_KE384619.1:c14724-12727	91.311	1991	173	0	16509	18499	1991	1	0.0	2719
APHAN_134.Contig_1	NZ_LAHB01000011.1:23963-25960	80.734	1988	374	9	16509	18492	1991	9	0.0	1541
APHAN_134.Contig_1	NZ_CP020114.1:c123803-121806	80.251	1990	384	8	16509	18494	1991	7	0.0	1489
APHAN_134.Contig_1	NZ_CP047242.1:778650-780647	78.823	1988	413	8	16502	18485	1998	15	0.0	1332
APHAN_134.Contig_1	NZ_AESD01000165.1:7056-9098	76.443	1923	430	19	16502	18413	2039	129	0.0	1020
APHAN_134.Contig_2	NZ_JACJTO010000022.1:5217-6737	99.737	1520	4	0	73012	74531	1	1520	0.0	2785
APHAN_134.Contig_2	NZ_KE384657.1:c38707-37184	86.561	1518	190	8	73012	74519	1	1514	0.0	1661
APHAN_134.Contig_2	NZ_JACJTO010000002.1:150477-150968	99.593	492	2	0	45441	45932	492	1	0.0	898
APHAN_134.Contig_2	NZ_JANQDJ010000020.1:4609-6129	78.049	1435	294	19	73055	74474	44	1472	0.0	885
APHAN_134.Contig_2	NZ_CP020114.1:c2388482-2386908	82.642	916	155	4	73558	74471	586	1499	0.0	808
APHAN_134.Contig_2	NZ_KE384609.1:58521-59012	85.597	486	68	2	45448	45932	485	1	4.43e-143	508
APHAN_134.Contig_2	NZ_LR882952.1:3843913-3845499	75.000	804	191	8	73610	74408	680	1478	3.65e-99	363
APHAN_134.Contig_2	NZ_CP065936.1:c284085-282517	79.433	282	57	1	73204	73485	166	446	1.09e-49	198
APHAN_134.Contig_3	NZ_KE384612.1:c25373-24126	78.030	264	53	5	96558	96819	798	538	1.33e-38	161
APHAN_134.Contig_3	NZ_JACJTO010000009.1:c53190-51958	75.472	265	58	7	96558	96819	783	523	6.29e-27	122
APHAN_134.Contig_4	NZ_JACJTO010000009.1:c53190-51958	99.676	1233	4	0	24219	25451	1233	1	0.0	2255
APHAN_134.Contig_4	NZ_KE384612.1:c25373-24126	85.637	1107	155	4	24219	25323	1248	144	0.0	1160
APHAN_134.Contig_4	NZ_JANQDJ010000079.1:8272-9510	80.310	1097	206	9	24219	25310	1239	148	0.0	821
APHAN_134.Contig_4	NZ_CP020114.1:c4994885-4993635	79.053	1098	216	12	24220	25310	1250	160	0.0	741
APHAN_134.Contig_4	NZ_AESD01000023.1:c4609-3353	75.264	473	109	8	24506	24974	970	502	7.76e-56	219
APHAN_134.Contig_5	NZ_JACJTO010000004.1:105234-106163	99.030	928	9	0	97433	98360	928	1	0.0	1664
APHAN_134.Contig_5	NZ_JACJTO010000004.1:85579-85998	99.524	420	2	0	117364	117783	420	1	0.0	765
APHAN_134.Contig_5	NZ_KE384592.1:c39642-38713	81.576	939	151	16	97433	98360	928	1	0.0	756
APHAN_134.Contig_5	NZ_KE384598.1:9077-9493	88.395	405	46	1	117380	117783	405	1	1.89e-136	486
APHAN_134.Contig_5	NZ_JANQDJ010000079.1:8272-9510	78.528	163	32	3	118888	119049	800	640	2.22e-21	104
APHAN_134.Contig_7	NZ_JACJTO010000010.1:102519-104831	98.879	2319	20	4	22720	25038	2313	1	0.0	4133
APHAN_134.Contig_7	NZ_KE384617.1:c46296-43954	84.622	2315	338	16	22730	25038	2303	1	0.0	2287
APHAN_134.Contig_7	NZ_CP020114.1:2794748-2797090	74.954	2180	489	45	22895	25038	2159	1	0.0	948
APHAN_134.Contig_8	NZ_JACJTO010000025.1:38869-41262	99.582	2394	10	0	48682	51075	2394	1	0.0	4366
APHAN_134.Contig_8	NZ_KE384607.1:c13130-10728	89.023	2405	251	8	48682	51075	2403	1	0.0	2966
APHAN_134.Contig_8	NZ_APIY01000452.1:c993-1	95.000	760	34	4	29134	29891	758	1	0.0	1190
APHAN_134.Contig_8	NZ_JACJTO010000056.1:2259-2900	97.040	642	19	0	89732	90373	1	642	0.0	1081
APHAN_134.Contig_8	NZ_CP020114.1:c2600812-2598359	77.173	1231	267	8	49855	51075	1227	1	0.0	704
APHAN_134.Contig_8	NZ_CP020114.1:c2600812-2598359	76.110	1126	253	12	48686	49800	2447	1327	3.18e-163	575
APHAN_134.Contig_8	NZ_KE384618.1:c48596-47955	86.422	626	85	0	89732	90357	1	626	0.0	686
APHAN_134.Contig_8	NZ_CP020114.1:c3984789-3984109	81.977	688	110	14	29211	29891	681	1	4.11e-162	571
APHAN_134.Contig_9	NZ_JACJTO010000034.1:c6821-5745	99.629	1077	4	0	61924	63000	1077	1	0.0	1967
APHAN_134.Contig_9	NZ_KE384612.1:c44638-43565	88.879	1070	119	0	61931	63000	1070	1	0.0	1317
APHAN_134.Contig_9	NZ_CP047242.1:c1128002-1126926	81.023	1075	199	4	61927	63000	1071	1	0.0	850
APHAN_134.Contig_9	NZ_LAHB01000028.1:11747-12823	80.594	1077	200	7	61927	63000	1071	1	0.0	822
