gene_callers_id,source,accession,function,e_value,contig,genome,gene_sh,gene_facet
154663,COG20_FUNCTION,COG0350,DNA repair enzyme Ada (O6-methylguanine-DNA--protein-cysteine methyltransferase) (AdaB) (PDB:6RLA) (PUBMED:29061663),9.000000000000001e-29,MCYST_157.Contig_57,MCYST_157,AdaB,Ada
182003,COG20_FUNCTION,COG0350,DNA repair enzyme Ada (O6-methylguanine-DNA--protein-cysteine methyltransferase) (AdaB) (PDB:6RLA) (PUBMED:29061663),3.5e-49,MCYST_56.Contig_117,MCYST_56,AdaB,Ada
236765,COG20_FUNCTION,COG0350,DNA repair enzyme Ada (O6-methylguanine-DNA--protein-cysteine methyltransferase) (AdaB) (PDB:6RLA) (PUBMED:29061663),2.6e-42,VAMPV_261.Contig_271,VAMPV_261,AdaB,Ada
208753,COG20_FUNCTION,COG0350!!!COG2207,DNA repair enzyme Ada (O6-methylguanine-DNA--protein-cysteine methyltransferase) (AdaB) (PDB:6RLA) (PUBMED:29061663)!!!AraC-type DNA-binding domain and AraC-containing proteins (AraC) (PDB:1BL0),4.5999999999999993e-119,PSEUDA_157.Contig_20,PSEUDA_157,AdaB,Ada
215370,COG20_FUNCTION,COG0350!!!COG2207,DNA repair enzyme Ada (O6-methylguanine-DNA--protein-cysteine methyltransferase) (AdaB) (PDB:6RLA) (PUBMED:29061663)!!!AraC-type DNA-binding domain and AraC-containing proteins (AraC) (PDB:1BL0),2.3999999999999993e-120,PSEUDA_281.Contig_72,PSEUDA_281,AdaB,Ada
219394,COG20_FUNCTION,COG0350!!!COG2207,DNA repair enzyme Ada (O6-methylguanine-DNA--protein-cysteine methyltransferase) (AdaB) (PDB:6RLA) (PUBMED:29061663)!!!AraC-type DNA-binding domain and AraC-containing proteins (AraC) (PDB:1BL0),1.6e-116,PSEUDA_31.Contig_49,PSEUDA_31,AdaB,Ada
226857,COG20_FUNCTION,COG0350!!!COG2207,DNA repair enzyme Ada (O6-methylguanine-DNA--protein-cysteine methyltransferase) (AdaB) (PDB:6RLA) (PUBMED:29061663)!!!AraC-type DNA-binding domain and AraC-containing proteins (AraC) (PDB:1BL0),4.099999999999999e-120,PSEUDA_70.Contig_318,PSEUDA_70,AdaB,Ada
196183,COG20_FUNCTION,COG0350!!!COG2169,"DNA repair enzyme Ada (O6-methylguanine-DNA--protein-cysteine methyltransferase) (AdaB) (PDB:6RLA) (PUBMED:29061663)!!!Methylphosphotriester-DNA--protein-cysteine methyltransferase (N-terminal fragment of Ada), contains Zn-binding and two AraC-type DNA-binding domains (AdaA) (PDB:1ADN)",1.7e-139,NODOS_103.Contig_277,NODOS_103,AdaB,Ada
207245,COG20_FUNCTION,COG0350!!!COG2169,"DNA repair enzyme Ada (O6-methylguanine-DNA--protein-cysteine methyltransferase) (AdaB) (PDB:6RLA) (PUBMED:29061663)!!!Methylphosphotriester-DNA--protein-cysteine methyltransferase (N-terminal fragment of Ada), contains Zn-binding and two AraC-type DNA-binding domains (AdaA) (PDB:1ADN)",2.5e-51,PSEUDA_13.Contig_169,PSEUDA_13,AdaB,Ada
227134,COG20_FUNCTION,COG0350!!!COG2169,"DNA repair enzyme Ada (O6-methylguanine-DNA--protein-cysteine methyltransferase) (AdaB) (PDB:6RLA) (PUBMED:29061663)!!!Methylphosphotriester-DNA--protein-cysteine methyltransferase (N-terminal fragment of Ada), contains Zn-binding and two AraC-type DNA-binding domains (AdaA) (PDB:1ADN)",3.3999999999999997e-130,VAMPV_156.Contig_1,VAMPV_156,AdaB,Ada
