qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,gene_seq,Gene_norm,organism,GeneID
APHAN_134.Contig_1,NZ_JACJTO010000007.1:68616-70613,99.65,1998,7,0,16502,18499,1998,1,0,3651,NZ_JACJTO010000007.1:68616-70613 uvrB [organism=Aphanizomenon flos-aquae FACHB-1287] [GeneID=78217381] [chromosome=],uvrB,Aphanizomenon flos-aquae FACHB-1287,78217381
APHAN_134.Contig_1,NZ_KE384619.1:c14724-12727,91.311,1991,173,0,16509,18499,1991,1,0,2719,NZ_KE384619.1:c14724-12727 uvrB [organism=Dolichospermum circinale AWQC131C] [GeneID=78013467] [chromosome=],uvrB,Dolichospermum circinale AWQC131C,78013467
APHAN_134.Contig_1,NZ_LAHB01000011.1:23963-25960,80.734,1988,374,9,16509,18492,1991,9,0,1541,NZ_LAHB01000011.1:23963-25960 uvrB [organism=Nostoc linckia z6] [GeneID=57093640] [chromosome=],uvrB,Nostoc linckia z6,57093640
APHAN_134.Contig_1,NZ_CP020114.1:c123803-121806,80.251,1990,384,8,16509,18494,1991,7,0,1489,NZ_CP020114.1:c123803-121806 uvrB [organism=Nodularia spumigena UHCC 0039] [GeneID=78015522] [chromosome=],uvrB,Nodularia spumigena UHCC 0039,78015522
APHAN_134.Contig_1,NZ_CP047242.1:778650-780647,78.823,1988,413,8,16502,18485,1998,15,0,1332,NZ_CP047242.1:778650-780647 uvrB [organism=Trichormus variabilis 0441] [GeneID=58722253] [chromosome=],uvrB,Trichormus variabilis 0441,58722253
APHAN_134.Contig_1,NZ_AESD01000165.1:7056-9098,76.443,1923,430,19,16502,18413,2039,129,0,1020,NZ_AESD01000165.1:7056-9098 uvrB [organism=Crocosphaera watsonii WH 0003] [GeneID=88764888] [chromosome=],uvrB,Crocosphaera watsonii WH 0003,88764888
APHAN_134.Contig_2,NZ_JACJTO010000022.1:5217-6737,99.737,1520,4,0,73012,74531,1,1520,0,2785,NZ_JACJTO010000022.1:5217-6737 radA [organism=Aphanizomenon flos-aquae FACHB-1287] [GeneID=78218662] [chromosome=],radA,Aphanizomenon flos-aquae FACHB-1287,78218662
APHAN_134.Contig_2,NZ_KE384657.1:c38707-37184,86.561,1518,190,8,73012,74519,1,1514,0,1661,NZ_KE384657.1:c38707-37184 radA [organism=Dolichospermum circinale AWQC131C] [GeneID=78014539] [chromosome=],radA,Dolichospermum circinale AWQC131C,78014539
APHAN_134.Contig_2,NZ_JACJTO010000002.1:150477-150968,99.593,492,2,0,45441,45932,492,1,0,898,NZ_JACJTO010000002.1:150477-150968 ruvC [organism=Aphanizomenon flos-aquae FACHB-1287] [GeneID=78216702] [chromosome=],ruvC,Aphanizomenon flos-aquae FACHB-1287,78216702
APHAN_134.Contig_2,NZ_JANQDJ010000020.1:4609-6129,78.049,1435,294,19,73055,74474,44,1472,0,885,NZ_JANQDJ010000020.1:4609-6129 radA [organism=Umezakia ovalisporum Ak1311] [GeneID=83683885] [chromosome=],radA,Umezakia ovalisporum Ak1311,83683885
APHAN_134.Contig_2,NZ_CP020114.1:c2388482-2386908,82.642,916,155,4,73558,74471,586,1499,0,808,NZ_CP020114.1:c2388482-2386908 radA [organism=Nodularia spumigena UHCC 0039] [GeneID=78017402] [chromosome=],radA,Nodularia spumigena UHCC 0039,78017402
APHAN_134.Contig_2,NZ_KE384609.1:58521-59012,85.597,486,68,2,45448,45932,485,1,4.43e-143,508,NZ_KE384609.1:58521-59012 ruvC [organism=Dolichospermum circinale AWQC131C] [GeneID=78012928] [chromosome=],ruvC,Dolichospermum circinale AWQC131C,78012928
APHAN_134.Contig_2,NZ_LR882952.1:3843913-3845499,75,804,191,8,73610,74408,680,1478,3.65e-99,363,NZ_LR882952.1:3843913-3845499 radA [organism=Planktothrix agardhii] [GeneID=77289712] [chromosome=I],radA,Planktothrix agardhii,77289712
APHAN_134.Contig_2,NZ_CP065936.1:c284085-282517,79.433,282,57,1,73204,73485,166,446,1.09e-49,198,NZ_CP065936.1:c284085-282517 radA [organism=Cylindrospermopsis raciborskii Cr2010] [GeneID=92779397] [chromosome=],radA,Cylindrospermopsis raciborskii Cr2010,92779397
APHAN_134.Contig_3,NZ_KE384612.1:c25373-24126,78.03,264,53,5,96558,96819,798,538,1.33e-38,161,NZ_KE384612.1:c25373-24126 sigC [organism=Dolichospermum circinale AWQC131C] [GeneID=78013054] [chromosome=],sigC,Dolichospermum circinale AWQC131C,78013054
APHAN_134.Contig_3,NZ_JACJTO010000009.1:c53190-51958,75.472,265,58,7,96558,96819,783,523,6.29e-27,122,NZ_JACJTO010000009.1:c53190-51958 sigC [organism=Aphanizomenon flos-aquae FACHB-1287] [GeneID=78217623] [chromosome=],sigC,Aphanizomenon flos-aquae FACHB-1287,78217623
APHAN_134.Contig_4,NZ_JACJTO010000009.1:c53190-51958,99.676,1233,4,0,24219,25451,1233,1,0,2255,NZ_JACJTO010000009.1:c53190-51958 sigC [organism=Aphanizomenon flos-aquae FACHB-1287] [GeneID=78217623] [chromosome=],sigC,Aphanizomenon flos-aquae FACHB-1287,78217623
APHAN_134.Contig_4,NZ_KE384612.1:c25373-24126,85.637,1107,155,4,24219,25323,1248,144,0,1160,NZ_KE384612.1:c25373-24126 sigC [organism=Dolichospermum circinale AWQC131C] [GeneID=78013054] [chromosome=],sigC,Dolichospermum circinale AWQC131C,78013054
APHAN_134.Contig_4,NZ_JANQDJ010000079.1:8272-9510,80.31,1097,206,9,24219,25310,1239,148,0,821,NZ_JANQDJ010000079.1:8272-9510 sigC [organism=Umezakia ovalisporum Ak1311] [GeneID=83686312] [chromosome=],sigC,Umezakia ovalisporum Ak1311,83686312
APHAN_134.Contig_4,NZ_CP020114.1:c4994885-4993635,79.053,1098,216,12,24220,25310,1250,160,0,741,NZ_CP020114.1:c4994885-4993635 sigC [organism=Nodularia spumigena UHCC 0039] [GeneID=78019642] [chromosome=],sigC,Nodularia spumigena UHCC 0039,78019642
APHAN_134.Contig_4,NZ_AESD01000023.1:c4609-3353,75.264,473,109,8,24506,24974,970,502,7.76e-56,219,NZ_AESD01000023.1:c4609-3353 sigC [organism=Crocosphaera watsonii WH 0003] [GeneID=88764112] [chromosome=],sigC,Crocosphaera watsonii WH 0003,88764112
