gene_callers_id,source,accession,function,e_value,contig,genome
21,COG20_FUNCTION,COG0556,Excinuclease UvrABC helicase subunit UvrB (UvrB) (PDB:1C4O),0,APHAN_134.Contig_1,APHAN_134
410,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),7.599999999999999e-32,APHAN_134.Contig_4,APHAN_134
1485,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),1e-116,APHAN_134.Contig_16,APHAN_134
2059,COG20_FUNCTION,COG0178,Excinuclease UvrABC ATPase subunit (UvrA) (PDB:2R6F),0,APHAN_134.Contig_25,APHAN_134
2484,COG20_FUNCTION,COG0322,"Excinuclease UvrABC, nuclease subunit (UvrC) (PDB:2NRT) (PUBMED:24513124)",0,APHAN_134.Contig_35,APHAN_134
3150,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),0,APHAN_134.Contig_57,APHAN_134
3506,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),0,APHAN_134.Contig_74,APHAN_134
4221,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),0,CYANO_106.Contig_2,CYANO_106
4260,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),4.1e-263,CYANO_106.Contig_2,CYANO_106
4286,COG20_FUNCTION,COG0178,Excinuclease UvrABC ATPase subunit (UvrA) (PDB:2R6F),0,CYANO_106.Contig_3,CYANO_106
5132,COG20_FUNCTION,COG0556,Excinuclease UvrABC helicase subunit UvrB (UvrB) (PDB:1C4O),0,CYANO_106.Contig_22,CYANO_106
5470,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),1.7999999999999997e-108,CYANO_106.Contig_34,CYANO_106
6170,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),1.3e-74,CYANO_106.Contig_68,CYANO_106
6973,COG20_FUNCTION,COG0322,"Excinuclease UvrABC, nuclease subunit (UvrC) (PDB:2NRT) (PUBMED:24513124)",3.4999999999999994e-181,CYANO_106.Contig_158,CYANO_106
7328,COG20_FUNCTION,COG0322,"Excinuclease UvrABC, nuclease subunit (UvrC) (PDB:2NRT) (PUBMED:24513124)",0,CYANO_45.Contig_1,CYANO_45
7403,COG20_FUNCTION,COG0556,Excinuclease UvrABC helicase subunit UvrB (UvrB) (PDB:1C4O),0,CYANO_45.Contig_1,CYANO_45
7478,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),0,CYANO_45.Contig_2,CYANO_45
7626,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),0,CYANO_45.Contig_2,CYANO_45
7839,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),0,CYANO_45.Contig_3,CYANO_45
8585,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),1.0999999999999999e-121,CYANO_45.Contig_8,CYANO_45
10225,COG20_FUNCTION,COG0178,Excinuclease UvrABC ATPase subunit (UvrA) (PDB:2R6F),0,CYANO_45.Contig_28,CYANO_45
10798,COG20_FUNCTION,COG0322,"Excinuclease UvrABC, nuclease subunit (UvrC) (PDB:2NRT) (PUBMED:24513124)",1.3e-49,CYANO_45.Contig_42,CYANO_45
11459,COG20_FUNCTION,COG0178,Excinuclease UvrABC ATPase subunit (UvrA) (PDB:2R6F),0,CYANO_51_1.Contig_1,CYANO_51_1
12161,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),2.5e-23,CYANO_51_1.Contig_10,CYANO_51_1
13119,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),0,CYANO_51_1.Contig_30,CYANO_51_1
14113,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),5.8e-115,CYANO_51_1.Contig_55,CYANO_51_1
14399,COG20_FUNCTION,COG0322,"Excinuclease UvrABC, nuclease subunit (UvrC) (PDB:2NRT) (PUBMED:24513124)",7e-290,CYANO_51_1.Contig_63,CYANO_51_1
14454,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),4.1e-255,CYANO_51_1.Contig_64,CYANO_51_1
14851,COG20_FUNCTION,COG0322,"Excinuclease UvrABC, nuclease subunit (UvrC) (PDB:2NRT) (PUBMED:24513124)",8.799999999999999e-25,CYANO_51_1.Contig_78,CYANO_51_1
14869,COG20_FUNCTION,COG0556,Excinuclease UvrABC helicase subunit UvrB (UvrB) (PDB:1C4O),0,CYANO_51_1.Contig_79,CYANO_51_1
16303,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),5.299999999999999e-131,CYANO_51_1.Contig_157,CYANO_51_1
17103,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),0,CYANO_51_1.Contig_248,CYANO_51_1
17287,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),4.6e-306,CYANO_51_1.Contig_287,CYANO_51_1
17896,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),4.5e-294,CYANO_79.Contig_67,CYANO_79
18153,COG20_FUNCTION,COG0178,Excinuclease UvrABC ATPase subunit (UvrA) (PDB:2R6F),0,CYANO_79.Contig_110,CYANO_79
19203,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),4.2e-23,CYANO_79.Contig_350,CYANO_79
19301,COG20_FUNCTION,COG0556,Excinuclease UvrABC helicase subunit UvrB (UvrB) (PDB:1C4O),5.1000000000000003e-306,CYANO_79.Contig_382,CYANO_79
20099,COG20_FUNCTION,COG0556,Excinuclease UvrABC helicase subunit UvrB (UvrB) (PDB:1C4O),0,CYANO_84.Contig_1,CYANO_84
20386,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),4.4e-46,CYANO_84.Contig_8,CYANO_84
21587,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),9.1e-32,CYANO_84.Contig_57,CYANO_84
21599,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),9.7e-190,CYANO_84.Contig_57,CYANO_84
21774,COG20_FUNCTION,COG0210!!!COG2026,"Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR)!!!mRNA-degrading endonuclease RelE, toxin component of the RelBE toxin-antitoxin system (RelE) (PDB:1WMI)",2.5e-118,CYANO_84.Contig_66,CYANO_84
22111,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),0,CYANO_84.Contig_87,CYANO_84
22193,COG20_FUNCTION,COG0178,Excinuclease UvrABC ATPase subunit (UvrA) (PDB:2R6F),0,CYANO_84.Contig_93,CYANO_84
22604,COG20_FUNCTION,COG0210!!!COG2176,"Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR)!!!DNA polymerase III, alpha subunit (gram-positive type) (PolC)",7.9e-302,CYANO_84.Contig_127,CYANO_84
